id,language,reference,generated,bleu_score,bleu_1,bleu_2,bleu_3,bleu_4,rouge1,rouge2,rougeL,rougeLsum,bertscore_precision,bertscore_recall,bertscore_f1
1,python,Checks if a data type is a subtype of a specified base type,Checks if a given type is a subtype or equal to a base type within a class's type hierarchy.,19.835441454182888,50.0,31.57894736842105,16.666666666666668,5.882352941176471,0.6060606060606061,0.3870967741935484,0.6060606060606061,0.6060606060606061,0.8014382123947144,0.8719093203544617,0.8351898789405823
2,python,Validates if a value conforms to a datatype specified by a string,Validates if a given value conforms to a specified datatype using a type checker.,26.01278440403792,66.66666666666667,35.714285714285715,23.076923076923077,8.333333333333334,0.7692307692307692,0.41666666666666663,0.6923076923076924,0.6923076923076924,0.8434543013572693,0.8702125549316406,0.8566244840621948
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Checks if a given integer or list of integers falls within a specified signed/unsigned range based on a given number of bits.,11.601529016234949,44.0,20.833333333333332,8.695652173913043,2.272727272727273,0.47619047619047616,0.25,0.380952380952381,0.380952380952381,0.8270829319953918,0.8456375598907471,0.8362573981285095
4,python,Looks up a type definition tuple by its string name from a list of types,"Retrieves type information (name, conversion function, and validation rules) from a class's types based on a given datatype string.",4.303846266589084,29.166666666666668,4.3478260869565215,2.272727272727273,1.1904761904761905,0.4,0.06060606060606061,0.28571428571428575,0.28571428571428575,0.6749975681304932,0.7174335718154907,0.6955689191818237
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,"Retrieves namespaced datatypes from a fully qualified name, filtering against a predefined list.",3.125190763972442,13.333333333333334,3.5714285714285716,1.9230769230769231,1.0416666666666667,0.14285714285714288,0.0,0.14285714285714288,0.14285714285714288,0.6182375550270081,0.5998810529708862,0.6089209318161011
6,python,Traverses a VSS tree to count the occurrences and collect the fully qualified paths of each node name,"Populates a dictionary with unique node names and their paths within a VSS node tree, incrementing counters for repeated names.",4.546308713404574,27.272727272727273,4.761904761904762,2.5,1.3157894736842106,0.3157894736842105,0.05555555555555555,0.2105263157894737,0.2105263157894737,0.7201591730117798,0.7167742252349854,0.7184627056121826
7,python,Converts a string-based data type definition into an ApiGearType object,"Maps a type string (e.g., 'int32', 'string[]') to an ApiGearType enum, handling arrays and basic data types.",3.235912122544166,17.24137931034483,3.5714285714285716,1.8518518518518519,0.9615384615384616,0.41379310344827586,0.07407407407407408,0.27586206896551724,0.27586206896551724,0.63908851146698,0.7921438217163086,0.7074323296546936
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,"Generates an ApiGearProperty object from a VSSNode based on its datatype and data, returning None if the datatype is unsupported.",4.885326644211927,18.181818181818183,9.523809523809524,2.5,1.3157894736842106,0.25806451612903225,0.13793103448275862,0.25806451612903225,0.25806451612903225,0.6230624318122864,0.7190684676170349,0.6676316857337952
9,python,Recursively resolves and flattens a specification file and all its include dependencies,Recursively collects vehicle specification objects based on included files and prefixes.,4.456882760699064,25.0,4.545454545454546,2.5,1.3888888888888888,0.2608695652173913,0.0,0.2608695652173913,0.2608695652173913,0.753244161605835,0.7182267308235168,0.7353187799453735
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"Loads and merges vehicle specification files from specified paths, logging details and raising an exception if no specifications are found.",15.638350105502154,31.818181818181817,23.80952380952381,15.0,5.2631578947368425,0.4117647058823529,0.3125,0.4117647058823529,0.4117647058823529,0.700581431388855,0.7550873756408691,0.7268139719963074
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.",54.52469119630863,83.33333333333333,63.63636363636363,50.0,33.333333333333336,0.8571428571428572,0.631578947368421,0.8571428571428572,0.8571428571428572,0.9202839732170105,0.8826305866241455,0.9010640382766724
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,Validates a string against a hexadecimal pattern (0x followed by 8 hex characters) to ensure it's a valid 'constUID'.,4.724932626401583,31.818181818181817,4.761904761904762,2.5,1.3157894736842106,0.37499999999999994,0.06666666666666667,0.25,0.25,0.6170698404312134,0.6864694356918335,0.6499221920967102
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Creates and validates a VSSRaw object from a dictionary, handling potential validation errors.",3.23553708111838,20.0,3.5714285714285716,1.9230769230769231,1.0416666666666667,0.14285714285714288,0.0,0.14285714285714288,0.14285714285714288,0.7367144227027893,0.711938738822937,0.724114716053009
14,python,Validates that a list of strings are all known datatypes,Validates a list of datatypes against a predefined set of allowed datatypes.,13.065113298388567,38.46153846153846,16.666666666666668,9.090909090909092,5.0,0.45454545454545453,0.19999999999999998,0.45454545454545453,0.45454545454545453,0.6859234571456909,0.6758623123168945,0.6808557510375977
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node","Generates a string representation of a tree structure, including node names and specified attributes.",8.225964699966553,50.0,13.333333333333334,3.5714285714285716,1.9230769230769231,0.5185185185185186,0.16,0.29629629629629634,0.29629629629629634,0.8102993965148926,0.781944751739502,0.7958695888519287
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,"Traverses up the tree to find the root of an instance branch, raising an exception if no instance root exists.",8.461633959345022,27.272727272727273,14.285714285714286,5.0,2.6315789473684212,0.3529411764705882,0.18749999999999997,0.23529411764705882,0.23529411764705882,0.6453529596328735,0.6869516372680664,0.6655028462409973
17,python,Counts the depth of a chain of instance branches,Recursively counts the depth of instance children within a tree structure.,15.851165692617155,41.666666666666664,27.272727272727273,10.0,5.555555555555555,0.6,0.4444444444444445,0.5,0.5,0.7579936385154724,0.7737856507301331,0.7658082246780396
18,python,Finds all child node IDs that belong to a specific parent name,Finds node IDs that have a specific name as their expected parent.,16.2617017151949,61.53846153846154,25.0,9.090909090909092,5.0,0.6666666666666666,0.2727272727272727,0.5833333333333334,0.5833333333333334,0.8150015473365784,0.8202884197235107,0.8176364302635193
19,python,"Gets an attribute, returning a default value if the attribute is missing or its value is None","Safely retrieves an attribute from an object, returning a default value if the attribute is missing or None.",55.56957157837259,70.0,57.89473684210526,50.0,47.05882352941177,0.7428571428571428,0.6060606060606061,0.7428571428571428,0.7428571428571428,0.8623009920120239,0.8946675658226013,0.8781862258911133
